Seed,Country,Zone,Pot
1,Qatar,AFC,1
2,Brazil,CONMEBOL,1
3,Belgium,UEFA,1
4,France,UEFA,1
5,Argentina,CONMEBOL,1
6,England,UEFA,1
7,Spain,UEFA,1
8,Portugal,UEFA,1
9,Mexico,CONCACAF,2
10,Netherlands,UEFA,2
11,Denmark,UEFA,2
12,Germany,UEFA,2
13,United States,CONCACAF,2
14,Uruguay,CONMEBOL,2
15,Switzerland,UEFA,2
16,Croatia,UEFA,2
17,Senegal,CAF,3
18,Iran,AFC,3
19,Japan,AFC,3
20,Marocco,CAF,3
21,Serbia,UEFA,3
22,Poland,UEFA,3
23,South Korea,AFC,3
24,Canada,CONCACAF,3
25,Tunisia,CAF,4
26,Cameroon,CAF,4
27,Ecuador,CONMEBOL,4
28,Saudi Arabia,AFC,4
29,Ghana,CAF,4
30,UEFA Playoff,UEFA,4
31,CONMEBOL-AFC,CONMEBOL|AFC,4
32,CONCACAF-OFC,CONCACAF|OFC,4